1.080000000000e+00+0.000000000000e+00j; 1.875154560511e-01+1.150563068326e-01j; 1.622636995252e-01-1.169208784451e-01j; 9.140381641201e-01-2.333922608958e-01j
1.079928925017e+00+1.060167695992e-02j; 1.885503954673e-01+1.158716387568e-01j; 1.623969756090e-01-1.167173471577e-01j; 9.152147701345e-01-2.336346994814e-01j
1.079715824193e+00+2.119616652208e-02j; 1.895821710300e-01+1.166871575751e-01j; 1.625125999952e-01-1.165011933948e-01j; 9.164078944321e-01-2.337650951478e-01j
1.079361069597e+00+3.177629167134e-02j; 1.906086674903e-01+1.175015531517e-01j; 1.626105550561e-01-1.162725009298e-01j; 9.176170139404e-01-2.337829664428e-01j
1.078865280317e+00+4.233489612431e-02j; 1.916277812941e-01+1.183135144527e-01j; 1.626908420470e-01-1.160313667987e-01j; 9.188415564579e-01-2.336878847714e-01j
1.078229320917e+00+5.286485461195e-02j; 1.926374245851e-01+1.191217320603e-01j; 1.627534811368e-01-1.157779011502e-01j; 9.200809006778e-01-2.334794753996e-01j
1.077454299289e+00+6.335908306249e-02j; 1.936355291737e-01+1.199249006890e-01j; 1.627985114179e-01-1.155122270824e-01j; 9.213343763189e-01-2.331574184579e-01j
1.076541563910e+00+7.381054865250e-02j; 1.946200504661e-01+1.207217216995e-01j; 1.628259908951e-01-1.152344804654e-01j; 9.226012643642e-01-2.327214499427e-01j
1.075492700495e+00+8.421227969403e-02j; 1.955889713440e-01+1.215109056056e-01j; 1.628359964549e-01-1.149448097506e-01j; 9.238807974099e-01-2.321713627139e-01j
1.074309528088e+00+9.455737532710e-02j; 1.965403059891e-01+1.222911745687e-01j; 1.628286238127e-01-1.146433757659e-01j; 9.251721601234e-01-2.315070074857e-01j
1.072994094576e+00+1.048390149872e-01j; 1.974721036446e-01+1.230612648757e-01j; 1.628039874406e-01-1.143303514989e-01j; 9.264744898129e-01-2.307282938083e-01j
1.071548671660e+00+1.150504676192e-01j; 1.983824523060e-01+1.238199293951e-01j; 1.627622204738e-01-1.140059218663e-01j; 9.277868771079e-01-2.298351910387e-01j
1.069975749297e+00+1.251851006091e-01j; 1.992694823354e-01+1.245659400068e-01j; 1.627034745966e-01-1.136702834715e-01j; 9.291083667508e-01-2.288277292964e-01j
1.068278029625e+00+1.352363884090e-01j; 2.001313699918e-01+1.252980899998e-01j; 1.626279199085e-01-1.133236443496e-01j; 9.304379585004e-01-2.277060004026e-01j
1.066458420403e+00+1.451979208273e-01j; 2.009663408699e-01+1.260151964356e-01j; 1.625357447692e-01-1.129662237006e-01j; 9.317746081461e-01-2.264701587985e-01j
1.064520027988e+00+1.550634109642e-01j; 2.017726732429e-01+1.267161024693e-01j; 1.624271556238e-01-1.125982516111e-01j; 9.331172286319e-01-2.251204224411e-01j
1.062466149860e+00+1.648267027684e-01j; 2.025487013012e-01+1.273996796272e-01j; 1.623023768083e-01-1.122199687650e-01j; 9.344646912907e-01-2.236570736714e-01j
1.060300266736e+00+1.744817781954e-01j; 2.032928182815e-01+1.280648300333e-01j; 1.621616503346e-01-1.118316261430e-01j; 9.358158271865e-01-2.220804600534e-01j
1.058026034297e+00+1.840227639506e-01j; 2.040034794809e-01+1.287104885833e-01j; 1.620052356561e-01-1.114334847120e-01j; 9.371694285636e-01-2.203909951793e-01j
1.055647274544e+00+1.934439377990e-01j; 2.046792051494e-01+1.293356250595e-01j; 1.618334094141e-01-1.110258151040e-01j; 9.385242504012e-01-2.185891594377e-01j
1.053167966832e+00+2.027397344291e-01j; 2.053185832565e-01+1.299392461832e-01j; 1.616464651650e-01-1.106088972858e-01j; 9.398790120711e-01-2.166755007414e-01j
1.050592238588e+00+2.119047508575e-01j; 2.059202721257e-01+1.305203976006e-01j; 1.614447130880e-01-1.101830202188e-01j; 9.412323990968e-01-2.146506352107e-01j
1.047924355769e+00+2.209337513642e-01j; 2.064830029322e-01+1.310781657990e-01j; 1.612284796752e-01-1.097484815107e-01j; 9.425830650111e-01-2.125152478088e-01j
1.045168713061e+00+2.298216719518e-01j; 2.070055820599e-01+1.316116799473e-01j; 1.609981074025e-01-1.093055870580e-01j; 9.439296333093e-01-2.102700929262e-01j
1.042329823883e+00+2.385636243199e-01j; 2.074868933127e-01+1.321201136595e-01j; 1.607539543828e-01-1.088546506807e-01j; 9.452706994956e-01-2.079159949082e-01j
